User Name,Track Name,Post Time,Plays,Likes
Giang To,MayA - LỪA DỐI (DJ Giang Tô - BIN REMIX ),Posted 3 years ago,"292,058 plays","3,912"
Giang To,L U X Y - DJ GiangTô,Posted 3 years ago,"3,004,489 plays",60.3K
caoanh tuan,Sexy Guy TH - anhtuan,Posted 1 month ago,70 plays,1
caoanh tuan,Sai Cách Yêu Remix TikTok Lê Bảo Bình,Posted 2 months ago,"89,540 plays",549
MSC LAK,V Bass - Ai Là Người Thương Em ( Quân AP ) | MSC remix,Posted 1 day ago,9 plays,4
MSC LAK,(Remix)- Vi Yeu Ai Do Qua Nhieu ( Bootleg ) | Nguyễn Hồng Phan,Posted 6 days ago,75 plays,5
MSC LAK,𝘾𝙤̂ 𝙂𝙖́𝙞 𝙉𝙝𝙤̉ 𝙑𝙖̀ 𝘼𝙣𝙝( 𝙍𝙚𝙢𝙞𝙭 ) - 𝙋𝙝𝙪̀𝙣𝙜 𝙆𝙝𝙖́𝙣𝙝 𝙇𝙞𝙣𝙝 𝙛𝙩 𝙈𝙎𝘾,Posted 10 days ago,126 plays,10
MSC LAK,Quên một người từng yêu ( Remix MSC ) | TIK TOK 2021,Posted 1 month ago,"107,403 plays",766
MSC LAK,TROPICAL HOUSE - VOCALIST THƯƠNG VÕ (MSC),Posted 7 months ago,"14,543 plays",104
Hung,CHILL HOUSE TIKTOK  Như Một Người Dưng Remix  Nguyễn Thạc Bảo Ngọc  Nhạc Chill Sang Chảnh,Posted 11 days ago,"16,658 plays",435
Hung,Mixtape Nhạc Chill 2021  Chiều Buồn Nghiêng Nắng  Nhạc Deep Chill Sang Chảnh  DN Entertainment,Posted 25 days ago,"29,766 plays",715
Hung,Duyen Troi Lay 2 - Chung Thanh Duy,Posted 2 months ago,"9,032 plays",103
Hung,CÔ ĐƠN DÀNH CHO AI  LEE KEN x NAL  OFFICIAL MUSIC VIDEO,Posted 3 months ago,"101,694 plays",296
Hung,Khác biệt to lớn  Trịnh Thăng Bình live,Posted 3 months ago,"1,611 plays",12
MSC LAK,"Cứ Chill Thôi - Chillies, Suni Hạ Linh, Rhymastic - QN Remix | Reup Nguyen Hong Phan ( MSC)",Posted 7 months ago,"6,673 plays",44
MSC LAK,Thoi Mien - Cara ( MSC Remix ),Posted 7 months ago,"3,510 plays",37
MSC LAK,PSY TRANCE - CHIEU THU HOA BONG NANG | DatKaa ( Remix By MSC ),Posted 7 months ago,"11,195 plays",63
Hung,Hương Ly   Tướng Quân  Trung Nguyên Remix  Nhạc Hot Tiktok CSL Team  Hoàng Châu Media,Posted 3 months ago,"1,090 plays",19
Hung,Bản Nhạc Huyền Thoại Đời Đầu 8x  9x DJ Remix   Music Vnx,Posted 3 months ago,"1,522 plays",10
Hung,CAFE KHÔNG ĐƯỜNG  JOMBIE x TKAN X BEAN  HHD REMIX,Posted 4 months ago,"2,912 plays",13
Hung,CAFE KHÔNG ĐƯỜNG  JOMBIE x TKAN X BEAN  TRUZG X HHD REMIX,Posted 4 months ago,"3,682 plays",36
Hung,NỤ HÔN VÀ NƯỚC MẮT COVER JACK VIET NAM ft VU NO  LYRICS VIDEO,Posted 4 months ago,"12,565 plays",93
Hung,Sound Of My Dreams Nonstop The Victorias Secret Fashion Show,Posted 6 months ago,40 plays,5
Hung,Câu Hẹn Câu Thề  Đình Dũng  Thương Võ Cover,Posted 6 months ago,"57,920 plays",548
Mee Media,Có Mới Nới Cũ - Hồ Gia Khánh (Mee Remix),Posted 3 months ago,"88,857 plays",551
Mee Media,Hôm Qua Ta Còn Chung Đôi - Nguoi Khac Loi - Mee Remix,Posted 7 months ago,"174,054 plays",542
Mee Media,Tinh Yeu Mau Hong - Mee Remix,Posted 7 months ago,"932,766 plays","2,991"
Mee Media,Chưa Từng Yêu Ai Đến Vậy - Khang Việt (Mee Remix),Posted 7 months ago,"12,294 plays",124
Mee Media,Tương Tư Thương Nhớ Vây Thôi (Nhớ Người Hay Nhớ Remix) Mee Remix,Posted 8 months ago,"19,819 plays",147
Mee Media,Vì Em Là Quả Dâu Tây (BreakFast) Mee Remix,Posted 8 months ago,"58,001 plays",436
Mee Media,Phải Chăng Em Đã Yêu ( Mee Remix) - Juky San x RedT,Posted 8 months ago,"6,237 plays",76
Mee Media,Quá Khứ Kia Của Anh - Where U At - Mee Remix,Posted 8 months ago,"944,311 plays","3,239"
Mee Media,BinZ - Bigcityboi (Tom2K X TC Remix),Posted 1 year ago,"17,536 plays",396
Mee Media,Em Ơi Lên Phố Ver 2 - Tom2K Remix,Posted 1 year ago,"12,198 plays",408
Mee Media,Hoa Vinh - Chúng Ta Dừng Lại Ở Đây Thôi - 2020,Posted 1 year ago,"1,875 plays",84
Bác sĩ Hải,"Bác sĩ Hải , GiangTo - Chưa Bao giờ mẹ Kể  remix| 2021",Posted 17 days ago,"36,840 plays",885
Bác sĩ Hải,Bac Si Hai - 1 Chỉ 6 Triệu( feat. Giangto),Posted 1 month ago,"61,457 plays","1,276"
Bác sĩ Hải,"[Teaser] Bác sĩ Hải - Mixtpae  ""Emm""  | Viet Deep Deluxe 2",Posted 1 month ago,"46,898 plays",926
Bác sĩ Hải,Bác sĩ Hải -  Mix Mất Nước  | Người Chơi Hệ Nước #2,Posted 1 month ago,"339,963 plays",12K
Bác sĩ Hải,"Bac Si Hai , Giangto , D&D  - Retro SpaceMan | VIP Version 2021",Posted 2 months ago,"61,681 plays","1,386"
Bác sĩ Hải,"Bác sĩ Hải - Tình về Nơi Đâu remix ( Ft. Toki , Tilo) [bản chính thức]",Posted 3 months ago,"76,270 plays","1,319"
Bác sĩ Hải,Bac si hai -  Saigon LockDown   | Mixtape  7- 2021,Posted 3 months ago,"225,391 plays","7,702"
Mee Media,Bích Phương - Em Bỏ Hút Thuốc Chưa (Tom2K Remix),Posted 1 year ago,"40,559 plays","1,287"
Mee Media,(dat) Em Như Nào Cũng Được - Tom2K X Ngô Lan Hương,Posted 1 year ago,"14,280 plays",499
Mee Media,Kiun Gia Tuấn - Lần Mình Gục Ngã Remix - DJ Valhein Remix,Posted 1 year ago,"2,234 plays",72
Bác sĩ Hải,Bác Sĩ Hải - Ánh Trăng Tình ái Remix (Feat. T&T),Posted 4 months ago,"245,659 plays","4,289"
Bác sĩ Hải,"Cubb , Timmis -  OnlyU ( Bac sĩ Hải , Tech9  Remix)",Posted 4 months ago,"36,851 plays",414
Bác sĩ Hải,[REVIEW] Bac Si Hai - Deluxe VIet Mix,Posted 5 months ago,"162,553 plays","4,093"
Bác sĩ Hải,Bác Sĩ Hải - Vỡ Tan Deep mix (ft.JuongB)| Free Download,Posted 6 months ago,"133,444 plays","2,535"
Bác sĩ Hải,"Binz- Deep Sea remix (Bac si Hai ,GiangTo, NamNam)",Posted 7 months ago,"171,370 plays","2,480"
Bác sĩ Hải,Tuấn Hưng - Chỉ Còn Một Đêm Cuối ( Bác Sĩ Hải deep mix),Posted 7 months ago,"131,339 plays","2,019"
Bác sĩ Hải,"Tia -  In The Dark (Bác sĩ hải ,Chivas Nhi ,Timon  VIP MIX)",Posted 7 months ago,"79,343 plays","1,308"
Bác sĩ Hải,Bác sĩ Hải - Nụ Hông mong manh (Deep Mix 2021),Posted 7 months ago,"72,151 plays","1,099"
Bác sĩ Hải,"BAC Sĩ Hải , ZE  - Dù Có Cách Xa remix",Posted 7 months ago,"47,762 plays",639
Bác sĩ Hải,Bác sĩ Hải - Black Jack remix,Posted 7 months ago,"41,170 plays",518
Bác sĩ Hải,"Bac Si Hai - ""Người Chơi Hệ Nước "" | Nhạc Nước Mixtape | Happy new year 2021",Posted 8 months ago,"1,213,483 plays",27.8K
Bác sĩ Hải,"Bac si Hai - ""Rolling Ball""  | New mixtape 2021",Posted 10 months ago,"562,649 plays",13.3K
Bác sĩ Hải,"Bác Sĩ Hải ,DNoise - ACVR (Original Mix) | The ""Next Level"" Album",Posted 1 year ago,"65,302 plays","1,005"
Bác sĩ Hải,"Jun, Bac Si Hai -  Lang Tham Mot Tinh Yeu remix | The ""Next Level"" Album",Posted 1 year ago,"84,684 plays","1,282"
Bác sĩ Hải,Bac Si Hai - Ngay Chua Bao Giong (The Next level Album ),Posted 1 year ago,"90,906 plays","1,419"
Bác sĩ Hải,"Bác sĩ Hải , 5tone - Canh Hong Phai Remix",Posted 1 year ago,"66,241 plays","1,018"
Bác sĩ Hải,"Bac Si Hai Ft. Coken - Lak Cung Lak | The "" Next Level"" Album",Posted 1 year ago,"95,303 plays","1,812"
Bác sĩ Hải,"Bác sĩ Hải Ft. NamNam -   On The Next level  [ ""The Next Level "" Album ]",Posted 1 year ago,"82,276 plays","1,361"
Bác sĩ Hải,"Bác Sĩ Hải  Ft. Giang tô - Lỗi Tại Mưa (Deep mix) | The ""Next Level"" Album",Posted 1 year ago,"647,327 plays","8,893"
Bác sĩ Hải,Đông Nhi & Bác sĩ Hải - Love like you ( Tropical House )| Pepsi TVC,Posted 5 years ago,"30,931 plays",243
Bác sĩ Hải,DJ Bác Sĩ Hải | Deep Chill Tropical  Lồng lộn Mix | PODCAST | 2016 | FREEDOWNLOAD,Posted 5 years ago,"425,049 plays","6,623"
Bác sĩ Hải,Hồ Ngọc Hà - Destiny ( Bác Sĩ Hải  Trap mix ),Posted 5 years ago,"141,839 plays","1,731"
Bác sĩ Hải,[18+ Dirty] NamCT - HÚT BIN (Bác Sĩ Hải Trap Mix ),Posted 6 years ago,"98,858 plays","1,698"
Bác sĩ Hải,Bác Sĩ Hải - Amess  FT. Chi Dân  ( Anh Muốn Em Sống sao Trance Mix),Posted 6 years ago,"26,183 plays",402
Bác sĩ Hải,Y.Ê.U - Min st.319 (Bác Sĩ Hải remix),Posted 6 years ago,"119,803 plays","1,180"
Bác sĩ Hải,365 Theband  - Hai Cô Tiên Remix( DSmall & Clownd Hoang Edit Ver) // FREE DOWNLOAD,Posted 6 years ago,"114,127 plays","1,384"
Bác sĩ Hải,"NEW Edit  "" Forever Love"" - Clownd Hoang ft Lâm Nguyễn , Tony TK  // Club Edit //FREE DOWNLOAD",Posted 7 years ago,"26,299 plays",260
Bác sĩ Hải,[ Electro ] OnlyC ft Karik - Anh Không đòi quà ( Clownd Hoang Remix ) FREE DOWNLOAD,Posted 7 years ago,"85,902 plays","1,101"
Bác sĩ Hải,Em Không Tin  - Miu Lê ft. Clownd Hoàng,Posted 8 years ago,"115,352 plays",559
Bình Hồ Official,(Demo ViệtMix Căng 2h)- Thay Lòng - Bình Hồ Mix - Liên Hệ Mua Nhac Zalo 0901.3333.85 Giá Ưu Đãi,Posted 10 days ago,"69,221 plays","1,535"
Bình Hồ Official,( DEMO NST 2H) Mùi Hương x Squid Game - Bình Hồ Mix - Mua Nhạc Liên Hệ Zalo 0901.3333.85,Posted 23 days ago,"89,799 plays","1,556"
Bình Hồ Official,Nonstop - Uy Tín Vol.11 ( Bình Hồ Mix),Posted 1 month ago,"73,455 plays","2,579"
Bình Hồ Official,(DEMO 2h) VIETMIX TÂM TRẠNG TAN CHẢY - BÌNH HỒ MIX - LIÊN HỆ MUA NHẠC ZALO: 0901.333385,Posted 2 months ago,"108,123 plays","2,345"
Bình Hồ Official,(DEMO 3H)ANH EM SÀI GÒN - BÌNH HỒ MIX - MUA NHẠC LIÊN HỆ ZALO: 0901.3333.85,Posted 2 months ago,"103,645 plays","2,187"
Bình Hồ Official,(DEMO VIỆTMIX CĂNG 2H) - RỒI TỚI LUÔN - BÌNH HỒ REMIX - MUA NHẠC  ZALO : 0901.3333.85 GIÁ ƯU ĐÃI,Posted 2 months ago,"262,147 plays","4,873"
Bình Hồ Official,Nonstop - Đường Về Nhà - Bình Hồ Mix,Posted 2 months ago,"64,588 plays","2,063"
Bình Hồ Official,DEMO 6H SẮP 30 X KHÓC HUYNH ĐỆ ( GIÁ ƯU ĐẠI ZALO 0901.3333.85),Posted 3 months ago,"134,082 plays","3,501"
Bình Hồ Official,Xuân Này Con Không Về - Bình Hồ ( Nonstop ),Posted 5 months ago,"49,969 plays","1,957"
Bình Hồ Official,Nhìn Lại - Bình Hồ (Nonstop Vol.10),Posted 5 months ago,"215,896 plays","7,273"
Bình Hồ Official,Bứt Phá - Bình Hồ (Nonstop Vol.9),Posted 10 months ago,"607,681 plays",18.9K
Bình Hồ Official,Vaccine Binh Ho (Nonstop Vol.8),Posted 1 year ago,"518,576 plays",15.6K
Bình Hồ Official,Love Story Vol.7 ( Binh Ho Ft Khang Luu ),Posted 1 year ago,"513,034 plays",16.7K
Bình Hồ Official,Virus Binh Ho (Nonstop Vol.6),Posted 1 year ago,"1,619,228 plays",43K
Bình Hồ Official,I AM Bình Hồ (Nonstop Vol.5),Posted 1 year ago,"480,966 plays",15.7K
MUSIC DOCTOR Record,"Bác sĩ Hải ,5tone ,Hanzoi - Cách Ly  "" IsoLate """,Posted 1 year ago,"124,475 plays","1,939"
MUSIC DOCTOR Record,Bác sĩ Hải - 8 tháng Bar mix @Best Bu Bong #7 | 2020,Posted 1 year ago,"1,096,037 plays",19.4K
MUSIC DOCTOR Record,"Bác sĩ Hải - Một đêm say remix | FreeDownload  "" VALENTINE GIFT""",Posted 1 year ago,"82,995 plays","1,673"
MUSIC DOCTOR Record,Bác sĩ Hải - Nhac Xập Xình @ Best Bú Bóng #6 |VIệt Mix,Posted 1 year ago,"182,992 plays","3,564"
MUSIC DOCTOR Record,Britney spear - Three (Bac si Hai remix) | Freedownload,Posted 1 year ago,"141,655 plays","3,810"
MUSIC DOCTOR Record,Bác sĩ Hải - HMM @ Best Bú Bóng #5,Posted 1 year ago,"1,477,333 plays",25.5K
MUSIC DOCTOR Record,Bác sĩ Hải - Tan Chậm(Ft. Havy ),Posted 1 year ago,"37,780 plays",405
MUSIC DOCTOR Record,Tuấn Hưng - Tan (Bác sĩ Hải Deep mix)| WAV Download,Posted 2 years ago,"60,449 plays","1,684"
MUSIC DOCTOR Record,"TAOLAO - MIXSET ""NHÃ NHẠC"" số 1 - Bac Si Hai x Furious | DEEP HOUSE",Posted 2 years ago,"272,975 plays","6,112"
MUSIC DOCTOR Record,[set] Bs Hai live at LONDON lounge 10/2019,Posted 2 years ago,"45,415 plays","1,221"
MUSIC DOCTOR Record,"Lil Knight , Bác sĩ Hải - Xoạc (Original mix)",Posted 2 years ago,"140,035 plays","3,249"
MUSIC DOCTOR Record,Bác sĩ Hải - Birthday Night @Best Bu Bóng #4,Posted 2 years ago,"293,480 plays","6,016"
MUSIC DOCTOR Record,"Bác Sĩ Hải, Mike Hao, NamNam - Tinh Đơn phương [Hyper Music release] 2019",Posted 2 years ago,"252,632 plays","5,164"
Bình Hồ Official,HPBD To Me - Bình Hồ (Nonstop Vol.4),Posted 1 year ago,"1,031,293 plays",28.3K
Bình Hồ Official,Thay Tôi Yêu Cô Ấy - Bình Hồ (Nonstop Voll.3),Posted 2 years ago,"358,493 plays","8,766"
Bình Hồ Official,Từng Yêu - Bình Hồ ( nonstop voll.2 ),Posted 2 years ago,"346,687 plays","9,103"
Bình Hồ Official,Vỡ Tan - Bình Hồ (Nonstop) Vol.1,Posted 2 years ago,"262,000 plays","7,362"
Bình Hồ Official,Tặng 500AE Đồng Phê album đầu tay,Posted 2 years ago,"200,107 plays","6,081"
Bác sĩ Hải,"Bác sĩ Hải , GiangTo - Chưa Bao giờ mẹ Kể  remix| 2021",Posted 17 days ago,"36,840 plays",885
Bác sĩ Hải,Bac Si Hai - 1 Chỉ 6 Triệu( feat. Giangto),Posted 1 month ago,"61,458 plays","1,276"
Bác sĩ Hải,"[Teaser] Bác sĩ Hải - Mixtpae  ""Emm""  | Viet Deep Deluxe 2",Posted 1 month ago,"46,899 plays",926
Bác sĩ Hải,Bác sĩ Hải -  Mix Mất Nước  | Người Chơi Hệ Nước #2,Posted 1 month ago,"339,964 plays",12K
MUSIC DOCTOR Record,Bac si Hai - Summer 2019 @ Best Bu Bong #3,Posted 2 years ago,"324,490 plays","5,780"
MUSIC DOCTOR Record,Bác Sĩ Hải - Trưa Hè (Feat. Pham Anh Khoa ),Posted 2 years ago,"217,746 plays","3,189"
MUSIC DOCTOR Record,Bs Hai - Happy 8/3/2019  @ Best Bú Bóng #2,Posted 2 years ago,"101,536 plays","2,395"
MUSIC DOCTOR Record,Bs Hai - New Year 2019 @ Best Bú Bóng #1,Posted 2 years ago,"120,136 plays","3,008"
MUSIC DOCTOR Record,[SET] Bac si Hai @ the KASHO club 25/10/2018,Posted 3 years ago,"146,156 plays","3,095"
MUSIC DOCTOR Record,Bac si Hai @ the Xingxing Nightclub HCM 28-9-2018,Posted 3 years ago,"118,714 plays","2,963"
MUSIC DOCTOR Record,[SET]Bác sĩ Hải # CỜ E CE Mixtape |Deep 2018,Posted 3 years ago,"49,298 plays","1,229"
Bác sĩ Hải,"Bac Si Hai , Giangto , D&D  - Retro SpaceMan | VIP Version 2021",Posted 2 months ago,"61,682 plays","1,386"
Bác sĩ Hải,"Bác sĩ Hải - Tình về Nơi Đâu remix ( Ft. Toki , Tilo) [bản chính thức]",Posted 3 months ago,"76,270 plays","1,319"
Bác sĩ Hải,Bac si hai -  Saigon LockDown   | Mixtape  7- 2021,Posted 3 months ago,"225,391 plays","7,702"
Bác sĩ Hải,Bác Sĩ Hải - Ánh Trăng Tình ái Remix (Feat. T&T),Posted 4 months ago,"245,659 plays","4,289"
Bác sĩ Hải,"Cubb , Timmis -  OnlyU ( Bac sĩ Hải , Tech9  Remix)",Posted 4 months ago,"36,851 plays",414
Bác sĩ Hải,[REVIEW] Bac Si Hai - Deluxe VIet Mix,Posted 5 months ago,"162,553 plays","4,093"
Bác sĩ Hải,Bác Sĩ Hải - Vỡ Tan Deep mix (ft.JuongB)| Free Download,Posted 6 months ago,"133,444 plays","2,535"
Bác sĩ Hải,"Binz- Deep Sea remix (Bac si Hai ,GiangTo, NamNam)",Posted 7 months ago,"171,370 plays","2,480"
Bác sĩ Hải,Tuấn Hưng - Chỉ Còn Một Đêm Cuối ( Bác Sĩ Hải deep mix),Posted 7 months ago,"131,339 plays","2,019"
Bác sĩ Hải,"Tia -  In The Dark (Bác sĩ hải ,Chivas Nhi ,Timon  VIP MIX)",Posted 7 months ago,"79,343 plays","1,308"
Bác sĩ Hải,Bác sĩ Hải - Nụ Hông mong manh (Deep Mix 2021),Posted 7 months ago,"72,151 plays","1,099"
Bác sĩ Hải,"BAC Sĩ Hải , ZE  - Dù Có Cách Xa remix",Posted 7 months ago,"47,762 plays",639
Bác sĩ Hải,Bác sĩ Hải - Black Jack remix,Posted 7 months ago,"41,170 plays",518
MUSIC DOCTOR Record,Bác sĩ Hải - Giọt Buồn Để Lại remix | FREE DOWNLOAD WAV,Posted 3 years ago,"142,406 plays","3,741"
MUSIC DOCTOR Record,Ghen (Bishop x Bác sĩ Hải  remix),Posted 3 years ago,"149,259 plays","3,432"
MUSIC DOCTOR Record,Karik - Người Lạ ơi (Bác sĩ Hải remix),Posted 3 years ago,"522,512 plays","8,439"
MUSIC DOCTOR Record,[SET] Bac si Hai @ The Gallery Hanoi,Posted 3 years ago,"62,835 plays","1,634"
MUSIC DOCTOR Record,"[Set] Bac si Hai@theToilet, HaNoi -Xmass HappyNewYear2018 |G-House/DeepHouse",Posted 3 years ago,"140,999 plays","3,092"
MUSIC DOCTOR Record,"[Set] Bac Si Hai - Xoạc Xoành Xoạch(Set 3X)| hiphop, G-House, Techno | 9-9-2017",Posted 4 years ago,"59,516 plays","1,303"
MUSIC DOCTOR Record,[SET] Bac si Hai @ The Opera Ha Noi 20.7.2017,Posted 4 years ago,"361,530 plays","6,751"
MUSIC DOCTOR Record,"Bác sĩ Hải | Album ""HighLine""",Posted 4 years ago,"40,766 plays",873
MUSIC DOCTOR Record,"Bác sĩ Hải - Phía Sau Một Cô Gái Remix | Album ""Highline""",Posted 4 years ago,"40,269 plays","1,089"
MUSIC DOCTOR Record,"Bac Si Hải - Rằng Em Mãi Ở Bên Remix | Album ""Highline""",Posted 4 years ago,"61,067 plays","1,588"
Bác sĩ Hải,"Bac Si Hai - ""Người Chơi Hệ Nước "" | Nhạc Nước Mixtape | Happy new year 2021",Posted 8 months ago,"1,213,483 plays",27.8K
Bác sĩ Hải,"Bac si Hai - ""Rolling Ball""  | New mixtape 2021",Posted 10 months ago,"562,649 plays",13.3K
Bác sĩ Hải,"Bác Sĩ Hải ,DNoise - ACVR (Original Mix) | The ""Next Level"" Album",Posted 1 year ago,"65,302 plays","1,005"
Bác sĩ Hải,"Jun, Bac Si Hai -  Lang Tham Mot Tinh Yeu remix | The ""Next Level"" Album",Posted 1 year ago,"84,685 plays","1,282"
Bác sĩ Hải,Bac Si Hai - Ngay Chua Bao Giong (The Next level Album ),Posted 1 year ago,"90,906 plays","1,419"
Bác sĩ Hải,"Bác sĩ Hải , 5tone - Canh Hong Phai Remix",Posted 1 year ago,"66,241 plays","1,018"
Bác sĩ Hải,"Bac Si Hai Ft. Coken - Lak Cung Lak | The "" Next Level"" Album",Posted 1 year ago,"95,303 plays","1,812"
MUSIC DOCTOR Record,"Bác sĩ Hải - Tell Me Why remix | Album ""Highline""",Posted 4 years ago,"50,630 plays","1,397"
MUSIC DOCTOR Record,"[SET] Bác sĩ Hải - DEEP, TECH, G HOUSE  |  30-4 Holliday",Posted 4 years ago,"75,651 plays","1,850"
MUSIC DOCTOR Record,"Bác sĩ Hải feat. Bishop - Em đừng Thả Thính | Album "" Highline",Posted 4 years ago,"92,507 plays","2,575"
MUSIC DOCTOR Record,"Bác sĩ Hải - Lạc Trôi Remix | Album "" Highline""",Posted 4 years ago,"80,765 plays","2,499"
MUSIC DOCTOR Record,"Bác sĩ Hải - Single man (Feat. Yanbi)┃Album "" Highline""",Posted 4 years ago,"38,173 plays","1,162"
MUSIC DOCTOR Record,"[SET] Bác Sĩ Hải - BrazilianBass, Deep, G House | Happy new year 2017",Posted 4 years ago,"78,610 plays","1,875"
MUSIC DOCTOR Record,"Bác sĩ Hải Ft. Bishop & Justin-Tech9 - Cơn Mưa Cuối | Album ""Highline """,Posted 4 years ago,"82,102 plays","1,894"
Bác sĩ Hải,"Bác sĩ Hải Ft. NamNam -   On The Next level  [ ""The Next Level "" Album ]",Posted 1 year ago,"82,276 plays","1,361"
Bác sĩ Hải,"Bác Sĩ Hải  Ft. Giang tô - Lỗi Tại Mưa (Deep mix) | The ""Next Level"" Album",Posted 1 year ago,"647,327 plays","8,893"
Bác sĩ Hải,Đông Nhi & Bác sĩ Hải - Love like you ( Tropical House )| Pepsi TVC,Posted 5 years ago,"30,931 plays",243
Bác sĩ Hải,DJ Bác Sĩ Hải | Deep Chill Tropical  Lồng lộn Mix | PODCAST | 2016 | FREEDOWNLOAD,Posted 5 years ago,"425,049 plays","6,623"
Bác sĩ Hải,Hồ Ngọc Hà - Destiny ( Bác Sĩ Hải  Trap mix ),Posted 5 years ago,"141,839 plays","1,731"
